MemberID,JoinDate,DateOfBirth,City,NoOfChild,EldestKidDOB,YoungestKidDOB
f6643d338af3a67408264dc36d13b738,2013-09-09,2016-09-22,PINRANG,4,2012-07-16,2019-08-17
f691813e7fbf41b0f142bdcc17721075,2013-12-19,1986-07-26,MAKASAR,2,2012-09-26,2019-01-27
042a8b32511949a69e28081773ff9acf,2019-08-01,2017-02-28,PASURUAN,5,2014-09-19,2019-08-10
c86214bc32e03d53b5752c8b382a6c9e,2015-11-12,2017-01-04,DELI SERDANG,3,2014-09-25,2018-04-09
23ecd2d4b84029f504b26fd2f6e0ea02,2013-11-13,1974-10-20,PALEMBANG,3,2012-02-14,2013-11-24
b9aae0fb0becd94c1d60e50d1a1d22a1,2014-10-17,2017-04-17,SEMARANG,4,2012-12-12,2018-08-18
8e04c05f837031a89c44e23cf263ef97,2015-10-19,1900-01-01,JAKARTA BARAT,2,2011-10-08,2016-08-25
139e09221bda9eca26354ca43b64f728,2015-07-01,2016-12-23,DEPOK,2,2014-01-15,2018-11-27
cc91eab480e52c30823b284567de04a8,2015-04-30,1988-11-21,BEKASI,3,2013-11-27,2017-10-02
8f1bae20f97eda00c271780ec6750cce,2015-10-12,1983-06-13,TANGERANG,3,2014-02-28,2019-02-10
92533b79e5ff1c954a58e94921f19ec0,2009-02-19,1981-10-08,TANGERANG,3,2006-06-29,2017-08-16
a616c520ab034251294d1a40dd4ffe8b,2015-01-09,2016-12-26,BEKASI,2,2013-07-30,2019-04-27
b882f6c9120bfe9785d10f4b7260da33,2014-01-03,2016-12-26,TANGERANG SELATAN,4,2011-08-11,2019-12-25
95769fbfc42f30308d63ff5de7d1fc15,2015-04-10,1982-05-26,JAKARTA SELATAN,2,2013-10-19,2017-04-14
068fd3daae41ed99714eff51c20a24d0,2015-06-19,1983-11-03,BEKASI,2,2011-10-22,2017-10-02
424440e64ce2b0f10edc3d0b09fc6ffb,2015-11-24,1900-01-01,BANDUNG,2,2014-04-11,2018-11-16
7ffad6bbb4b65024ec316585821c548d,2011-09-08,2017-05-02,SEMARANG,1,2015-11-18,2015-11-18
4927d43e67a53180a9412bd028fee9b3,2012-10-08,2017-01-16,KENDAL,4,2011-09-13,2019-05-02
5901e05d7a0cccf8fabd82ca86774eb5,2015-08-07,2016-12-30,SURABAYA,3,2014-07-24,2018-04-09
e1f438ea7045febd050340fddbd571cc,2015-03-04,2017-01-18,SURABAYA,3,2012-08-08,2015-06-22
c819e6d08096c56be77705af75247a99,2015-01-01,2017-05-02,SEMARANG,5,2012-02-02,2018-07-09
6f34d8e64cee5c1fd07d82799fe9ef5a,2012-07-26,1985-10-06,MALANG,2,2010-01-25,2019-03-16
ef7fe7e96df9daad13a56cc06ab091e9,2010-12-08,1985-11-02,KEDIRI,3,2014-10-24,2018-12-21
d1978c5eb334045b7bd0ea9741a2e470,2013-02-15,1980-09-03,PALANGKARAYA,1,2008-08-31,2008-08-31
dd6e7fe3e31f7e618d6d9cd785314c8d,2014-10-03,1984-05-25,MAROS,2,2012-01-11,2019-08-09
dc67429830357179263e01edfd685186,2015-06-08,1985-09-14,MAKASAR,5,2012-06-09,2017-10-06
ab1b36ce74e1c15a8f66ad81eb6b4326,2013-08-16,1983-11-16,NGAWI,2,2010-04-20,2018-05-10
528c58e585c6632cd532fe988b5bcc28,2014-11-24,2017-03-20,MEDAN,5,2011-08-17,2019-01-30
90935ea70c4ff5fac1f78096d4cfcf0c,2015-03-12,2016-08-03,MEDAN,2,2013-09-25,2018-02-04
ca1074be87ae9761c300916aad8e02df,2015-06-12,1983-05-21,LANGKAT,3,2012-09-19,2020-05-23
da3983b9deb02e4e962f9903e43788ad,2015-10-12,2017-01-18,MEDAN,4,2014-05-18,2019-07-28
50c65ad58235bf5b219cff84c3cf7c88,2014-11-26,2016-09-28,JAKARTA TIMUR,2,2013-06-24,2013-06-24
7d385bde9bad1ae18e387a5b73a0c92f,2012-02-16,1980-02-25,JAKARTA TIMUR,6,2010-07-20,2016-04-18
0d374bdde0be393545f4f8db3dcc4eeb,2015-09-30,1900-01-02,BANDAR LAMPUNG,3,2014-08-09,2020-04-02
9970b408c4da0fa3f495d65ba5d635a4,2013-09-27,2016-09-10,JAKARTA TIMUR,1,2010-09-11,2010-09-11
03d5d55fd1009f2bc73177e07c5d90cc,2013-05-14,1984-08-22,JAKARTA TIMUR,5,2012-01-29,2019-03-20
59b17965bbbfaca6d6ac9a457fd478c9,2015-04-17,2017-01-18,SEMARANG,2,2014-03-24,2014-03-24
7f7a5920f8be04cec851d67934ed4b91,2014-11-07,2017-01-18,JAMBI,4,2011-12-15,2020-01-23
48e4371b066a3e0539ac2599152649b8,2015-05-05,1980-10-11,MEDAN,5,2013-08-01,2019-08-03
352bf495a79c9f505619fca945c66dbc,2015-03-17,1985-09-11,MEDAN,1,2012-10-02,2012-10-02
0d1fc6b2428d5ecc51b79cd591314e90,2013-06-18,1985-11-12,PONOROGO,1,2009-12-20,2009-12-20
ea9372c8da35ef7e021197d9a3eda863,2014-01-10,1982-05-25,MALANG,2,2012-06-01,2018-11-18
25e243b8dfd031c12c39efb3592a1fa2,2014-11-27,1900-01-01,MADIUN,2,2013-06-20,2018-02-24
03de7a42229481b307b2b9ddf0a18622,2013-09-12,1984-12-06,MAGELANG,2,2011-10-14,2017-04-10
0c298c2455988ad2f8e18a4ee478410f,2012-12-07,1983-01-08,JAKARTA TIMUR,2,2009-01-30,2012-02-18
727647b61740402fd6b5c9ee7c4daefa,2015-11-05,2016-12-22,MALANG,2,2014-08-09,2014-08-09
35726e5bcba7aa7d978a9564df7dc289,2012-11-02,1985-07-08,NGANJUK,3,2010-10-25,2019-01-01
19641216054bc3a7cbff3f1cd21adc5d,2014-11-27,2017-01-18,DENPASAR,3,2013-10-05,2018-08-09
656cc6a3a83006e08200f171f854ee73,2015-05-06,2016-09-16,MADIUN,3,2013-04-12,2014-10-22
cb1e05c2d99df932b82026a58d5891ac,2015-02-06,2016-12-28,GORONTALO,2,2012-09-19,2018-07-22
0238aa053ac7035d55c581518a83bc6f,2015-11-20,1900-08-12,MEDAN,1,2013-11-24,2013-11-24
1511bc9413a82909a27257928c561c37,2015-03-19,2016-12-28,BEKASI,4,2013-06-05,2016-05-15
a85711edf08b49783f9fa2d1afec6ad9,2013-03-18,1983-10-08,SURABAYA,4,2018-07-04,2018-07-04
9c176e5a2eb2d1b0a3dd6f745a18604a,1900-01-02,1987-12-06,JAKARTA BARAT,1,2011-03-25,2011-03-25
7000de4569a805daef1c27e94dafe3f0,2011-12-05,1987-10-01,BANDUNG,2,2010-11-17,2010-11-17
39cba53e8724573d33081aa8ab6c80c6,2015-09-25,2017-04-25,SEMARANG,3,2014-07-17,2019-05-16
1d1eb85919c32b690bb065faaab1baf7,2015-11-05,2016-12-29,SURABAYA,2,2014-07-18,2020-01-06
c4891b061b3a86c8ab7406643481a457,2015-12-10,1989-01-29,GOWA,3,2014-05-31,2020-01-05
fdc387c58ce550fa81252dab11408a74,2015-04-07,1985-02-02,BANYUWANGI,3,2011-08-03,2017-08-09
8ad549c4c9be7efaf430bdc14ea671bf,2015-06-26,2016-09-27,KENDARI,4,2012-12-10,2019-10-17
9d9379dd6a40f32dc90c03b874936c9a,2015-09-08,2016-12-21,PALOPO,3,2014-04-16,2017-03-07
72e85c252bb8468143869f047a3ca9bf,2013-05-24,2016-12-30,JEMBER,2,2011-01-14,2019-11-23
6bbd03fc531c0a9fe98bd49d581b68db,2015-04-30,1985-05-07,JEMBER,3,2011-08-09,2012-08-09
d11ce7a127449a76e0e994e2bd0851d3,2015-02-02,1988-01-25,PEMATANG SIANTAR,2,2012-08-29,2017-04-30
1ad70a762a9e98d63720b44d5fab089d,2015-09-10,2016-10-20,DELI SERDANG,2,2014-08-09,2017-10-07
33a18ff6d688f1ed6869b109056827ac,2015-05-11,2016-09-30,MAKASAR,3,2011-10-16,2018-05-15
cbf7e60352b0bcb7a3b7e332e006fa1e,2015-04-02,1900-01-01,BENGKALIS,1,2014-03-19,2014-03-19
ad5807f9eeb8355ad35c41e79859cbae,2015-09-29,2016-12-29,PEKANBARU,2,2014-09-01,2015-09-01
b2f8d0893ade426a9848b0188ea9b8e8,2013-08-15,2016-11-10,PEKANBARU,4,2012-07-11,2020-03-22
5c1c9b88f95503153a40eea61ed4fac3,2015-04-13,2016-12-29,TEBING TINGGI,7,2013-07-20,2015-07-11
dc852a105eaf9e70acc8d1c101293b18,2015-02-02,2016-12-22,MEDAN,1,2010-05-11,2010-05-11
dc1fdc3b1157b2e40c22d16b1d404554,2015-07-30,2016-10-03,CILACAP,2,2013-03-11,2013-03-11
759767047273c988a2562748abc76250,2009-11-17,1979-08-22,DEPOK,3,2010-02-04,2017-11-30
1e39c55a314730ab9687e323acd2d822,2014-02-12,1988-11-07,PALU,3,2013-01-10,2018-04-21
89b212d1d8e5a8737b36a3d8ed5df874,2013-05-15,2016-12-28,MAKASAR,2,2011-02-16,2018-02-02
46678420485c8127fa8cdc21ab6fd790,2015-05-20,1985-09-05,MANADO,3,2013-05-07,2017-10-08
220625d15fd232efbcfc24fd229a5360,2015-05-04,1981-12-15,TAKALAR,2,2012-12-18,2016-07-27
91415b91c3ab304d74e4149c2d44eeeb,2014-01-08,1986-12-31,BANYUMAS,2,2011-02-09,2017-04-21
9ae4e4547fe4a7668f96047aa994085e,2015-07-02,1989-08-03,GRESIK,1,2014-06-16,2014-06-16
4e45346f58335f71f5b73142a7b3809b,2015-10-12,1900-01-01,PASURUAN,3,2012-07-30,2018-09-28
45513da31f48b5ef52789a9a6fbdd9e9,2015-06-11,2017-01-19,BOYOLALI,1,2011-07-30,2011-07-30
a60f0a7f13f7ba7eeb99f8b20ebabe70,2014-01-09,2016-12-29,SURABAYA,5,2012-01-02,2019-08-27
a06c0eb9c08cc47d6796b7c1eb1f66cb,2015-06-05,2016-12-30,KEDIRI,2,2014-04-22,2015-12-22
f7588f3cd21ed4cdf58a6f4c86df7fa8,2015-09-29,2016-12-26,BANDUNG,5,2014-08-20,2018-03-17
fcc7555f637b7355370f70108fb90059,2015-09-30,1988-05-08,JAKARTA TIMUR,3,2013-04-28,2019-11-21
53d5ba917273f259babe365f1d05813e,2013-03-28,2016-11-01,YOGYAKARTA,3,2011-01-21,2011-01-22
b86d3faf5f39750dba65bfe49563f799,2015-09-02,2016-10-10,CIMAHI,3,2013-05-16,2019-02-17
0e7b84518a8a0094f641ad6c3834ac10,2015-09-17,1987-05-23,KLATEN,2,2011-08-16,2019-01-20
304ad0a7ad1392fa715e79c8b29d9ca0,2014-10-14,2016-09-09,MALANG,3,2013-04-05,2018-02-14
14c0ddf39d7947b6472274e5e12bd490,2015-12-18,1900-01-01,SEMARANG,4,2014-06-25,2020-02-26
fd1c7e6063729940a952da5e4316b39d,2013-06-19,2016-12-30,SURABAYA,2,2012-03-30,2019-05-24
a00bc29055ef3066cc3a249126d21033,2013-02-22,2017-02-13,MADIUN,3,2009-03-28,2018-12-05
073d9143c695366f63e61536a0a62f8a,2015-05-21,2016-12-16,SURAKARTA (SOLO),5,2010-12-20,2014-08-15
54ab78af2fe287c91744f0d74d99a860,2014-01-23,1982-07-26,SLEMAN,2,2011-09-11,2015-12-12
bf3ff058cb60bebd3872e9dd4b8bf072,2013-05-21,2016-12-28,SIDOARJO,2,2009-06-06,2009-06-06
c30f87a61bd197d22af2f672068bf763,2014-01-10,2016-12-30,SURABAYA,4,2012-08-28,2017-08-18
467a9809428df289feb9c677fbd9f855,2016-08-15,2017-01-13,BOGOR,2,2014-07-09,2015-07-09
086256c114c9625bf83aafdb78d0c7d0,2016-09-05,2017-04-04,JAKARTA BARAT,4,2012-04-25,2017-11-06
e73b9eb3c6bb007e62da1ab5f1030c4e,2016-07-19,2016-12-08,PEKANBARU,3,2015-04-13,2017-07-05
9d5c73235815ff089fded9dc032f54b6,2016-07-04,2017-01-23,MAKASAR,1,2014-01-15,2014-01-15
b6bd5b5af53cce8a472b7544588b736a,2016-07-04,2016-12-30,BOGOR,3,2012-10-18,2019-04-22
730a21301ab0e67549680f18e92dd21a,2016-07-04,2017-01-13,TANGERANG,3,2013-02-16,2018-08-27
95871ff55f507b74abee42090136f830,2016-06-15,2017-01-04,SURABAYA,2,2010-04-19,2013-02-01
d61f3110631b8478d20c083dfeca1959,2016-06-22,2017-03-14,JAKARTA TIMUR,1,2015-06-13,2015-06-13
678419346003a34855ff9f3935e58ae4,2016-06-22,2017-01-02,TANGERANG,3,2014-12-04,2019-07-04
ad2b4f40f5f6400084226a3e15fc102e,2016-06-23,2017-01-02,JAKARTA BARAT,2,2013-11-08,2017-08-23
e8eb7e46e92c09d997a3a6a6f6b91079,2016-08-10,2017-01-11,MAKASAR,1,2014-10-15,2014-10-15
2168afcd91009b3db5c7ad700d95328c,2016-08-15,2016-09-27,PALU,2,2015-06-19,2019-01-28
a040dcbb24b9f271cbbe215ff77b554a,2016-12-26,2017-03-14,MAKASAR,4,2013-11-02,2017-07-28
babb3471ecd9165f47eb94456a03383c,2016-12-28,2016-12-28,SURABAYA,2,2013-07-19,2013-07-19
2bed917e61191d2d94f4d2e3bbc45ecd,2016-12-29,2017-03-31,BLITAR,2,2012-02-16,2018-05-13
eb81bfc93a6e15082b1380df7018e983,2016-12-22,2017-02-06,PALEMBANG,3,2015-11-17,2019-10-15
82f186a817cbacf19fc2fff2e106a89b,2017-01-12,2017-03-09,SIAK,3,2012-12-24,2018-06-06
99ced884ee6fc3f31fe05d45c6fcead9,2017-01-12,2017-01-12,SEMARANG,1,2015-01-09,2015-01-09
dd1c8b239ac3221cff750261bc5dffdb,2017-01-13,2017-01-13,MANADO,4,2012-02-06,2015-02-09
71ea2631e3abf691a6c84531208bfb01,2017-01-13,2017-02-16,KUDUS,4,2014-07-17,2014-07-17
1ba59e5e65c76947f872a8e6b1312b57,2016-12-19,2016-12-19,BEKASI,3,2014-01-09,2018-11-26
85aa4fd9f1fbae78152a057a962a5745,2016-12-21,2016-12-21,SURABAYA,4,2010-09-19,2019-07-20
ba4e59997bf44d2a39c8c07c4bc0138a,2016-12-25,2017-03-31,PONOROGO,3,2010-10-17,2013-07-29
4b6d611c5970175b6c0245f0f391e3cf,2016-12-25,2016-12-25,TULUNGAGUNG,2,2014-04-29,2017-04-29
b3005df46e0cb22cc6e4a1b0a451557b,2016-12-28,2016-12-28,SIDOARJO,2,2013-05-14,2018-11-12
85d3a2e26eb2e84782fbb5f4754b7746,2016-12-28,2017-03-22,MAGETAN,5,2008-02-10,2015-02-18
77d47a8e6c66453dc2a8b0bb1b296f92,2016-12-29,2017-01-17,BANDUNG,1,2015-07-02,2015-07-02
11323e0ba757562ca03e3ce64e161009,2016-12-29,2017-03-14,BANYUWANGI,4,2014-01-08,2017-02-27
a053f086652b02f0e95b78028cfdc0a6,2016-12-30,2016-12-30,LAHAT,2,2015-09-23,2020-05-11
a2caf7f74728a40e3ef4f040cda07fa0,2016-12-31,2016-12-31,JAKARTA BARAT,2,2014-06-09,2018-11-02
390137b41177f89174cad268978871a5,2017-01-02,2017-01-02,TORAJA UTARA,3,2013-05-01,2019-12-20
32a5169ff2e78f32d43fe235f18a99a2,2017-01-05,2017-01-05,PEKALONGAN,2,2012-03-29,2019-11-13
f6e77fe4634116451d8e5e7159e996f3,2017-01-05,2017-04-04,JAKARTA BARAT,3,2013-03-25,2017-05-31
8e27a85c4df97354207dd5b90201c741,2017-01-24,2017-03-08,TANGERANG,1,2009-12-28,2009-12-28
fdfc64b99c8546d77c8a03dae2e576bb,2017-01-25,2017-01-25,SURABAYA,2,2014-11-21,2020-03-20
9466e9611dffaebba906f64e172bacf8,2017-01-25,2017-01-25,SURAKARTA,2,2015-09-01,2019-08-03
6445b5816d968134fcd254ee76f11172,2017-01-25,2017-01-25,MALANG,2,2015-12-26,2018-11-09
ab63eb6bc2d866bca92a6993327b693f,2017-01-26,2017-03-01,PEKANBARU,1,2012-08-11,2012-08-11
a7abe72a9c030f4e4f1ad13dbd7f9a27,2017-01-27,2017-01-27,GORONTALO,2,2015-12-10,2017-03-21
0fb1f64f0ff1912dd881e27768aac780,2017-01-02,2017-01-30,JAKARTA TIMUR,2,2015-09-13,2018-10-04
a4cb7c5651527614fcb186e8368d223f,2017-01-06,2017-01-06,SURABAYA,3,2014-05-01,2018-10-10
0f523849201d446f8488476382148f20,2017-01-04,2017-01-04,SUKOHARJO,1,2015-06-28,2015-06-28
b3a77ed9a53178d6f4736edaa3e1f755,2017-01-10,2017-01-10,BANDUNG,1,2015-10-04,2015-10-04
dff84bb719087dd3b1c4d90329ac7b47,2017-01-10,2017-01-10,JAKARTA,2,2012-12-25,2015-12-24
2837544c581591ad02b9395cd32ef4ec,2017-01-23,2017-01-30,MAKASAR,4,2012-12-21,2019-09-07
13142f4085dd8f6a79e004529358b287,2017-01-24,2017-01-24,JAKARTA UTARA,1,2015-12-23,2015-12-23
5521a6b90df3c448124f45458e74d469,2017-01-24,2017-01-24,DEPOK,1,2015-11-01,2015-11-01
c7f8362c8ad651b9ddf8d867ea20e4a9,2016-08-16,2016-09-14,MEDAN,3,2012-12-24,2015-07-02
c09a831e6383d9c7452bb88969b0823f,2016-08-16,2017-03-22,PONOROGO,2,2015-06-08,2018-10-04
3374f4584700603ca4b480a983784b65,2016-08-16,2016-11-16,CIREBON,2,2014-06-12,2017-12-12
3541d62785cde24dbead59227d66fe68,2016-08-22,2016-08-22,MEDAN,2,2015-02-04,2018-02-02
551fdb602f68069e48ffe4c176f283a8,2016-09-08,2017-01-09,MAKASAR,2,2015-04-08,2018-10-21
34788a6238b5faeccbfac1b2051bdd80,2016-09-08,2016-09-08,MEDAN,6,2014-08-02,2019-03-03
9c95c974d02a098fa66f4856d6b21bd4,2016-09-08,2016-12-30,MEDAN,1,2014-11-22,2014-11-22
ef7195d6ce4af6e8ba7f4e961e17849a,2016-09-08,2016-09-08,MEDAN,2,2014-03-18,2019-09-19
58b4e0f859fa9a499ce2282361e3d206,2016-07-01,2017-01-05,TANGERANG,3,2014-07-10,2019-01-30
44cb586588982b26f403d5eee04123c3,2016-07-02,2016-12-05,JAKARTA SELATAN,2,2011-03-19,2018-09-19
e588ad5e3be582dccaf3196f0e75a9a7,2016-07-25,2016-12-07,BANDUNG BARAT,2,2015-02-09,2015-02-09
5de0610ab6cb278067c2205a8185fb4f,2016-07-20,2016-08-01,BEKASI,2,2014-12-19,2018-11-30
2693dd5273c7f19727714eae67848099,2016-07-25,2017-04-17,SEMARANG,2,2014-11-11,2019-08-10
cc9c33cdc673b09781e535d7237e53d4,2016-07-26,2017-03-22,MEDAN,1,2014-08-11,2014-08-11
0aa1ea5c65adc195a7154945f965f6df,2016-07-27,2016-08-24,JAKARTA BARAT,1,2015-07-11,2015-07-11
0bf1b8a6f1b01d7ad6d3906700995a7b,2016-07-26,2016-08-29,TANGERANG,1,2015-01-17,2015-01-17
93a6af20422335168fcfe3c8ebba07c8,2016-07-28,2016-12-09,JAKARTA TIMUR,2,2015-03-16,2020-01-03
efaa81439cdc537624c2b396484841b4,2016-07-30,2016-10-17,BATAM,2,2015-05-31,2018-09-01
2db84cd4efc8d5c44263d8695e8d0274,2016-07-27,2017-01-31,BEKASI,2,2015-04-10,2018-05-17
2215b3504f40d27291bd15ee39b9e952,2016-07-28,2016-12-07,JAKARTA BARAT,2,2015-05-21,2017-05-13
edbc34bf539b094a8c517e7857141c68,2016-08-01,2016-12-13,BANDUNG,2,2013-05-09,2019-04-11
c645739528e89f46084c26904c57f802,2016-07-02,2017-01-05,JAKARTA SELATAN,1,2014-09-28,2014-09-28
4d1d6775df91a9bcfc77fa8a4762fdef,2016-07-04,2016-12-08,MALANG,2,2014-01-01,2018-02-26
2fa3a75eaa11f98ca0a730f7754a0ca0,2016-07-08,2017-01-26,BEKASI,4,2014-01-23,2019-04-07
e4a8f17b636d16f4b52625a2ab31cfeb,2016-07-09,2016-07-09,DEMAK,2,2014-10-16,2018-11-13
4f16248c2665f3c3e619e28383042436,2016-07-11,2016-12-30,SURABAYA,1,2014-11-27,2014-11-27
2c5baf36006812a0bba1c71b5286d221,2016-07-12,2017-01-09,PROBOLINGGO,2,2012-07-12,2018-09-23
c9856cb6b20e896d46a55ff1d88d01e9,2016-07-12,2016-12-05,MEDAN,2,2011-11-11,2011-11-11
d923fc4ecf763ec1aaf7c2b807d7b94a,2016-07-13,2017-04-18,SEMARANG,2,2014-12-11,2014-12-11
5ad8f8d82966dcb2815e5d2a2c163e26,2016-07-13,2016-12-20,MEDAN,1,2015-04-26,2015-04-26
4248e66805128909ee91ebcda5e0e4c1,2016-07-14,2017-01-13,JAKARTA UTARA,2,2014-05-19,2017-08-02
50493e8042913f35da631669ad8d3e84,2016-07-14,2017-05-02,SEMARANG,2,2013-05-07,2014-11-16
155d3e17db9675b9ce6f00dade9c13f5,2016-10-05,2017-01-09,MAKASAR,2,2015-05-21,2019-09-04
0e692e1c2666c0adeca569479c3d5b33,2016-10-06,2017-01-17,BANDUNG,2,2014-03-29,2018-05-15
50fa436c57e5f687cbecf03df35b21c4,2016-10-07,2016-12-23,BEKASI,1,2015-09-03,2015-09-03
13b7c2fdb79a04f4c7093f64938d5185,2016-10-07,2016-12-21,TAPANULI UTARA,2,2012-09-23,2014-07-16
c7be2917436f4cf2b69be497cfa165ba,2016-09-21,2016-12-21,JAKARTA UTARA,3,2013-08-04,2019-10-03
dc1e9e60bde2fc5ec6188c8e30cea707,2016-08-01,2016-12-14,MAKASAR,4,2009-10-12,2019-08-08
470acd5b9b9c9bc55f52143fb2e781bd,2016-09-09,2017-01-16,MEDAN,3,2014-06-22,2019-04-04
d673086038dbe99b4655a671552e715e,2016-08-25,2017-03-20,MAGELANG,2,2012-04-07,2018-01-10
33519f62a5bbd3d929d91bad9291f8e9,2016-09-02,2017-01-02,TANGERANG,3,2013-09-11,2018-11-07
aa1f141a64d951c3d69a809c4fdab819,2016-09-13,2016-09-13,MEDAN,3,2015-04-30,2020-02-04
ea8480852905a4e8605d14f37b79e5e3,2016-09-15,2016-10-04,SURAKARTA,2,2014-06-06,2017-01-31
